file,line,keyword,context,code
/home/admin/lx-anonymizer/lx_anonymizer/cropping_utils.py,155,anonymized_text,other,"original_text, anonymized_text, report_meta, cropped_regions = self.reader.process_report_with_cropping("
/home/admin/lx-anonymizer/lx_anonymizer/cropping_utils.py,173,patient_name,dict_key,"'patient_name': f""{report_meta.get('patient_first_name', '')} {report_meta.get('patient_last_name', '')}"".strip(),"
/home/admin/lx-anonymizer/lx_anonymizer/cropping_utils.py,173,patient_first_name,other,"'patient_name': f""{report_meta.get('patient_first_name', '')} {report_meta.get('patient_last_name', '')}"".strip(),"
/home/admin/lx-anonymizer/lx_anonymizer/cropping_utils.py,173,patient_last_name,other,"'patient_name': f""{report_meta.get('patient_first_name', '')} {report_meta.get('patient_last_name', '')}"".strip(),"
/home/admin/lx-anonymizer/lx_anonymizer/cropping_utils.py,174,case_number,dict_key,"'case_number': report_meta.get('casenumber'),"
/home/admin/lx-anonymizer/lx_anonymizer/cropping_utils.py,174,casenumber,other,"'case_number': report_meta.get('casenumber'),"
/home/admin/lx-anonymizer/lx_anonymizer/cropping_utils.py,175,patient_dob,dict_key,"'patient_dob': str(report_meta.get('patient_dob', '')),"
/home/admin/lx-anonymizer/lx_anonymizer/cropping_utils.py,175,patient_dob,dict_key,"'patient_dob': str(report_meta.get('patient_dob', '')),"
/home/admin/lx-anonymizer/lx_anonymizer/cropping_utils.py,252,patient_name,other,if meta.get('patient_name'):
/home/admin/lx-anonymizer/lx_anonymizer/cropping_utils.py,253,patient_name,other,"f.write(f""  Patient: {meta['patient_name']}\n"")"
/home/admin/lx-anonymizer/lx_anonymizer/cropping_utils.py,254,case_number,other,if meta.get('case_number'):
/home/admin/lx-anonymizer/lx_anonymizer/cropping_utils.py,255,case_number,other,"f.write(f""  Fallnummer: {meta['case_number']}\n"")"
/home/admin/lx-anonymizer/lx_anonymizer/cropping_utils.py,278,patient_name,dict_key,"""patient_name"": r""[A-ZÄÖÜ][a-zäöüß]+\s*,\s*[A-ZÄÖÜ][a-zäöüß]+"","
/home/admin/lx-anonymizer/lx_anonymizer/cropping_utils.py,280,case_number,dict_key,"""case_number"": r""(?:Fallnummer|Fallnr|Fall\.Nr)[:\s]*(\d+)"","
/home/admin/lx-anonymizer/lx_anonymizer/flair_NER.py,8,text,other,This script loads a Flair Named Entity Recognition (NER) tagger for German text.
/home/admin/lx-anonymizer/lx_anonymizer/flair_NER.py,11,text,other,input: text (str) - The text to be analyzed for entities.
/home/admin/lx-anonymizer/lx_anonymizer/flair_NER.py,11,text,other,input: text (str) - The text to be analyzed for entities.
/home/admin/lx-anonymizer/lx_anonymizer/flair_NER.py,12,text,other,output: entities (List) - A list of entities found in the text.
